                              2017-08 CUE - Browser E2																														
Ordered By	Michael Van Waardhuizen (micvan@microsoft.com)																													
Order Date	"Sep 5 2017, 1:35pm PDT"																													
Number of Participants	30																													
																														
Need help?	support@usertesting.com																													
																														
Username	mhayes0716	alexfairlie	JohnDeyeso	tiffwatson7	Karghitect	Reed_pro	dsince1984	vna18	danlaucas	lkayer	supyonamesjosh	Joyahocker	dplachy	watso	Sbuerger	ldix16	Gareath	skielandrianna	marissia.watkin	Troy.Rial	WhitNit	ladylyn	johnstevensonv	jasyu22	jhua	Looper116	Axan	jada444	aleighty3	CWildman
Operating System (OS)	Windows 10 Pro 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Pro 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Pro 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Pro 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Pro 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Pro 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0
Screen Resolution (in pixels)	1920 x 1080	1366 x 768	1920 x 1080	1366 x 768	1920 x 1080	1600 x 900	1600 x 900	1920 x 1080	1366 x 768	1366 x 768	1360 x 768	1366 x 768	1366 x 768	1920 x 1080	1920 x 1080	1920 x 1080	2560 x 1440	1366 x 768	1600 x 900	1366 x 768	1366 x 768	1366 x 768	1920 x 1080	1366 x 768	3200 x 1800	1920 x 1080	1366 x 768	1366 x 768	1366 x 768	1920 x 1080
																														
Total Memory	16323.74 MB	8104.27 MB	8075.15 MB	7128.26 MB	16343.11 MB	7364.7 MB	3561.4 MB	8173.53 MB	5706.26 MB	6029.63 MB	12241.81 MB	3270.26 MB	6075.84 MB	8190.05 MB	8124.27 MB	8074.95 MB	16323.1 MB	8076.22 MB	5054.68 MB	6034.91 MB	3984.27 MB	8056.27 MB	8143.85 MB	3979.23 MB	8104.27 MB	8051.63 MB	8075.4 MB	4056.36 MB	6029.68 MB	8102.45 MB
Study Protocol																														
Starting Url																														
http://cuelink.azurewebsites.net/vm.aspx																														
																														
Introduction																														
"Hi!  This test will focus on trying a few tasks using the Microsoft Edge web browser.  We will use Remote Desktop (an app built into Windows 10) to connect to and use another PC.  This will *not* affect your PC in any way.During each task, please focus on the task itself and do not multitask unless asked.   You do not need to talk aloud as you work, there will be several questions and a chance to give feedback at the end of each task. It may seem like there are a lot of questions, but they should go quickly; this test will take around 20 minutes.We want to better understand what your experience is like, so please be honest and forthcoming with your feedback. Thank you!"																														
																														
Tasks																														
Task 1																														
"First thing is to get connected to the remote PC.  There are a few steps:1. A website will open, asking for the project name.  Enter ""Browser"" and submit.2. A remote desktop file with a name similar to ""CUE-Browser00_...rdp"" will download.  Open or Run this file. It should launch in Remote Desktop Connection (built into Windows 10.)3. You will be prompted to accept an 'unknown connection' to the remote PC.  Don't worry, this is a one-way connection that won't affect your home PC at all. 4. When prompted to login, use this password: CUEpassword1Click 'Next' once you are connected and signed in (you will be able to see a background of a grey-blue color.)"																														
																														
Task 2																														
"Task 1 of 7: Now that you are logged into the remote PC, go ahead and open up the Edge web browser.(It is the blue 'e' icon in the taskbar.)"																														
																														
Task 3 [Written Response]																														
"Which of the following words best describes the icon for this browser:Boring, Complicated, Calm, Creative, Cutting-edge, Exciting, Familiar, Fresh, Impressive, Innovative, Inspiring, Intimidating, Old, Professional, Trustworthy, or Unprofessional?"																														
																														
Task 4 [Written Response]																														
"Which of the following words best describes the design of the buttons in this browser:Boring, Complicated, Calm, Creative, Cutting-edge, Exciting, Familiar, Fresh, Impressive, Innovative, Inspiring, Intimidating, Old, Professional, Trustworthy, or Unprofessional?"																														
																														
Task 5 [Written Response]																														
"Which of the following words best describes the spacing and layout of this browser:Boring, Complicated, Calm, Creative, Cutting-edge, Exciting, Familiar, Fresh, Impressive, Innovative, Inspiring, Intimidating, Old, Professional, Trustworthy, or Unprofessional?"																														
																														
Task 6 [Written Response]																														
"Click the ""…"" button in the upper right hand corner.  What word best describes the appearance of this content:Boring, Complicated, Calm, Creative, Cutting-edge, Exciting, Familiar, Fresh, Impressive, Innovative, Inspiring, Intimidating, Old, Professional, Trustworthy, or Unprofessional?"																														
																														
Task 7 [Written Response]																														
Please share a bit about why you gave the answers you did.																														
																														
Task 8																														
"Task 2 of 7:Open up a new tab in this browser, and use it to access a frequently visited site (for example, Twitter).  Do not type the URL."																														
																														
"Task 9 [Multiple Choice: Yes, No, I'm not sure.]"																														
Were you able to successfully use the new tab to get to the site that you wanted?																														
																														
"Task 10 [Multiple Choice: Much longer than I expected, Somewhat longer than I expected, About as I expected, Somewhat faster than I expected, Much faster than I expected]"																														
The time it took to get to a frequently visited site from a new tab was...																														
																														
Task 11 [Rating Scale: Strongly disagree to Strongly agree]																														
"Please rate to what extent you agree or disagree with the following statements:""Finding how to get to a frequently visited site from a new tab was easy."""																														
																														
Task 12 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Once I found how to do it, getting to a frequently visited site from a new tab was easy."""																														
																														
Task 13 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Getting to a frequently visited site from a new tab worked the way I expected."""																														
																														
Task 14 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Being able to get to a frequently visited site from a new tab is important to me."""																														
																														
Task 15 [Written Response]																														
"Which of the following words best describes your experience of using a new tab to get to a frequently visited site in this browser:Boring, Complicated, Calm, Creative, Cutting-edge, Exciting, Familiar, Fresh, Impressive, Innovative, Inspiring, Intimidating, Old, Professional, Trustworthy, or Unprofessional?"																														
																														
"Task 16 [Multiple Choice: Very dissatisfied, Somewhat dissatisfied, Neither satisfied nor dissatisfied, Somewhat satisfied, Very satisfied]"																														
How satisfied are you with using a new tab to get to a frequently visited site in this browser?																														
																														
Task 17 [Written Response]																														
"Please share a bit about your experience with this task, and why you gave the ratings you did."																														
																														
Task 18																														
Task 3 of 7:Open a new tab and use it to check the latest news about technology.																														
																														
"Task 19 [Multiple Choice: Yes, No, I'm not sure.]"																														
Were you able to successfully find the latest news about technology in a new tab?																														
																														
"Task 20 [Multiple Choice: Much longer than I expected, Somewhat longer than I expected, About as I expected, Somewhat faster than I expected, Much faster than I expected]"																														
The time it took to get to the latest news about technology from a new tab was...																														
																														
Task 21 [Rating Scale: Strongly disagree to Strongly agree]																														
"Please rate to what extent you agree or disagree with the following statements:""Finding how to get to the latest news about technology from a new tab was easy."""																														
																														
Task 22 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Once I found how to do it, getting the latest news about technology from a new tab was easy to do."""																														
																														
Task 23 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Getting the latest news about technology from a new tab worked the way I expected it to."""																														
																														
Task 24 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Being able to get to the latest news about technology from a new tab is important to me."""																														
																														
Task 25 [Written Response]																														
"Which of the following words best describes your experience of finding the latest technology news in this browser:Boring, Complicated, Calm, Creative, Cutting-edge, Exciting, Familiar, Fresh, Impressive, Innovative, Inspiring, Intimidating, Old, Professional, Trustworthy, or Unprofessional?"																														
																														
"Task 26 [Multiple Choice: Very dissatisfied, Somewhat dissatisfied, Neither satisfied nor dissatisfied, Somewhat satisfied, Very satisfied]"																														
How satisfied are you with finding the latest news about technology in this browser?																														
																														
Task 27 [Written Response]																														
"Please share a bit about your experience with this task, and why you gave the ratings you did."																														
																														
Task 28																														
"Task 4 of 7: Open a new tab, and use it to check the weather in Shanghai."																														
																														
"Task 29 [Multiple Choice: Yes, No, I'm not sure.]"																														
Were you able to open a new tab and check the weather in Shanghai?																														
																														
"Task 30 [Multiple Choice: Much longer than I expected, Somewhat longer than I expected, About as I expected, Somewhat faster than I expected, Much faster than I expected]"																														
The time it took to check the weather in Shanghai was...																														
																														
Task 31 [Rating Scale: Strongly disagree to Strongly agree]																														
"Please rate to what extent you agree or disagree with the following statements:""Finding how to check the weather in Shanghai in a new tab was easy."""																														
																														
Task 32 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Once I found how to do it, checking the weather in Shanghai from a new tab was easy."""																														
																														
Task 33 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Checking the weather in Shanghai in a new tab worked the way I expected."""																														
																														
Task 34 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Being able to check the weather in a new tab is important to me."""																														
																														
Task 35 [Written Response]																														
"Which of the following words best describes your experience of checking the weather in Shanghai in a new tab in this browser:Boring, Complicated, Calm, Creative, Cutting-edge, Exciting, Familiar, Fresh, Impressive, Innovative, Inspiring, Intimidating, Old, Professional, Trustworthy, or Unprofessional?"																														
																														
"Task 36 [Multiple Choice: Very dissatisfied, Somewhat dissatisfied, Neither satisfied nor dissatisfied, Somewhat satisfied, Very satisfied]"																														
How satisfied are you with checking the weather in Shanghai in a new tab in this browser?																														
																														
Task 37 [Written Response]																														
"Please share a bit about your experience with this task, and why you gave the ratings you did."																														
																														
Task 38																														
"Task 5 of 7: Open a new tab, and search for the age of the oldest tree in the world."																														
																														
"Task 39 [Multiple Choice: Yes, No, I'm not sure.]"																														
Were you able to successfully find the age of the oldest tree?																														
																														
"Task 40 [Multiple Choice: Much longer than I expected, Somewhat longer than I expected, About as I expected, Somewhat faster than I expected, Much faster than I expected]"																														
The time it took to search for this information was...																														
																														
Task 41 [Rating Scale: Strongly disagree to Strongly agree]																														
"Please rate to what extent you agree or disagree with the following statements:""Finding how to search the web from a new tab was easy."""																														
																														
Task 42 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Once I found how to do it, searching the web from a new tab was easy."""																														
																														
Task 43 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Searching the web from a new tab worked the way I expected."""																														
																														
Task 44 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Being able to search the web from a new tab is important to me."""																														
																														
Task 45 [Written Response]																														
"Which of the following words best describes your experience of searching the web from a new tab in this browser:Boring, Complicated, Calm, Creative, Cutting-edge, Exciting, Familiar, Fresh, Impressive, Innovative, Inspiring, Intimidating, Old, Professional, Trustworthy, or Unprofessional?"																														
																														
"Task 46 [Multiple Choice: Very dissatisfied, Somewhat dissatisfied, Neither satisfied nor dissatisfied, Somewhat satisfied, Very satisfied]"																														
How satisfied are you with searching the web in a new tab in this browser?																														
																														
Task 47 [Written Response]																														
"Please share a bit about your experience with this task, and why you gave the ratings you did."																														
																														
Task 48																														
"Task 6 of 7:In a new tab, use the Address Bar to go directly to outsideonline.com."																														
																														
"Task 49 [Multiple Choice: Yes, No, I'm not sure.]"																														
Were you able to successfully go directly to the site?																														
																														
"Task 50 [Multiple Choice: Much longer than I expected, Somewhat longer than I expected, About as I expected, Somewhat faster than I expected, Much faster than I expected]"																														
The time it took to get to a site using the Address Bar was...																														
																														
Task 51 [Rating Scale: Strongly disagree to Strongly agree]																														
"Please rate to what extent you agree or disagree with the following statements:""Finding how to go directly to a site using the Address Bar was easy."""																														
																														
Task 52 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Once I found it, going directly to a site using the Address Bar was easy."""																														
																														
Task 53 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Going directly to a site using the Address Bar worked the way I expected."""																														
																														
Task 54 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Being able to go directly to a site using the Address Bar is important to me."""																														
																														
Task 55 [Written Response]																														
"Which of the following words best describes your experience of going directly to a site using the Address Bar in this browser:Boring, Complicated, Calm, Creative, Cutting-edge, Exciting, Familiar, Fresh, Impressive, Innovative, Inspiring, Intimidating, Old, Professional, Trustworthy, or Unprofessional?"																														
																														
"Task 56 [Multiple Choice: Very dissatisfied, Somewhat dissatisfied, Neither satisfied nor dissatisfied, Somewhat satisfied, Very satisfied]"																														
How satisfied are you with getting to a site using the Address Bar in this browser?																														
																														
Task 57 [Written Response]																														
"Please share a bit about your experience with this task, and why you gave the ratings you did."																														
																														
Task 58																														
"Task 7 of 7:Using the *current* tab, search for a review of the latest Honda CR-V."																														
																														
"Task 59 [Multiple Choice: Yes, No, I'm not sure.]"																														
Were you able to successfully find a review of the latest Honda CR-V?																														
																														
"Task 60 [Multiple Choice: Much longer than I expected, Somewhat longer than I expected, About as I expected, Somewhat faster than I expected, Much faster than I expected]"																														
The time it took to search the web from your current tab was...																														
																														
Task 61 [Rating Scale: Strongly disagree to Strongly agree]																														
"Please rate to what extent you agree or disagree with the following statements:""Finding how to search the web from an existing tab was easy."""																														
																														
Task 62 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Once I found how to do it, searching the web from an existing tab was easy."""																														
																														
Task 63 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Searching the web form an existing tab worked the way I expected."""																														
																														
Task 64 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Being able to search the web from an existing tab is important to me."""																														
																														
Task 65 [Written Response]																														
"Which of the following words best describes your experience of searching the web in an existing tab in this browser:Boring, Complicated, Calm, Creative, Cutting-edge, Exciting, Familiar, Fresh, Impressive, Innovative, Inspiring, Intimidating, Old, Professional, Trustworthy, or Unprofessional?"																														
																														
"Task 66 [Multiple Choice: Very dissatisfied, Somewhat dissatisfied, Neither satisfied nor dissatisfied, Somewhat satisfied, Very satisfied]"																														
How satisfied are you with searching the web from an existing tab in this browser?																														
																														
Task 67 [Written Response]																														
"Please share a bit about your experience with this task, and why you gave the ratings you did."																														
																														
Task 68																														
That's it for tasks!  Click on the 'x' in the remote desktop app (near the top of your screen) to close your connection and we'll wrap up with just a few more general questions.																														
																														
																														
Post-Test Questionnaire																														
Question 1																														
"Based on your experience today, how likely are you to recommend this browser to a friend or colleague (0=Not at all likely, and 10=Very Likely)?"	2	7	10	"0, answer would be different, I'm sure, had the remote desktop actually been functioning."	6	8	9	2	10	1	3	10	6	"5, I am more of a Google Chrome user, so I wouldn't recommend it, but it definitely was lower than 5 before today's test so that is a good sign of improvement"	7	10	7	9	10	9	5	6	5	8	5	7	9	9		10
																														
Question 2																														
